file,orig_encoding_guess,had_replacement,updated_meta,changed,size_before,size_after
big.htm,utf-8,0,True,True,7170,7171
usd.htm,cp932,0,True,True,714,741
dm.htm,cp932,0,True,True,700,726
gou.htm,utf-8,0,True,True,6938,6939
setuwa.htm,utf-8,0,True,True,14083,14084
index3.html,cp932,0,True,True,46371,47319
index.html,utf-8,0,True,True,47440,47441
ajia.htm,cp932,0,True,True,1642,1859
indexold.html,cp932,0,True,True,54166,59622
usdg.htm,cp932,0,True,True,1521,1600
ajiamoku.html,utf-8,0,True,True,341,342
jpyg.htm,cp932,0,True,True,1308,1327
index∩╝Æ.html,utf-8,0,True,True,46979,46980
ajiajp.html,utf-8,0,True,True,342,343
ny2.htm,utf-8,0,True,True,775,776
henka.htm,utf-8,0,True,True,1737,1738
FXSOBA1.HTM,cp932,0,True,True,3043,3640
intosa.htm,utf-8,0,True,True,9402,9336
ny1.htm,cp932,0,True,True,546,582
fxsoba[1].htm,cp932,0,True,True,2949,3546
hm2.htm,utf-8,0,True,True,3494,3428
hm3.htm,cp932,0,True,True,7827,9104
ny.htm,utf-8,0,True,True,936,937
ajiaus.htm,cp932,0,True,True,3097,3384
music.xml,utf-8,0,False,False,481,481
henkajp.htm,utf-8,0,True,True,1058,1059
krw.htm,utf-8,0,True,True,790,791
fxsoba.htm,utf-8,0,True,True,3642,3643
bigbun4.HTM,cp932,0,True,True,1236,1610
An01old.htm,cp932,0,True,True,25544,27294
kabu.htm,utf-8,0,True,True,371,372
log.cgi.txt,cp932,0,False,True,7567,8318
bigbun5.HTM,cp932,0,True,True,1134,1418
ajiacur.htm,utf-8,0,True,True,657,681
bigbun1.HTM,cp932,0,True,True,4554,6277
2.txt,utf-8,0,False,False,1,1
countlog.cgi.htm,cp932,0,True,True,39491,39567
bigbun2.HTM,cp932,0,True,True,1037,1316
suisen.htm,utf-8,0,True,True,11733,11734
AN.HTM,cp932,0,True,True,3464,3949
1.txt,utf-8,0,False,False,1,1
bigbun3.HTM,cp932,0,True,True,1122,1461
An05.htm,cp932,0,True,True,10603,12301
mokuji.html,utf-8,0,True,True,1262,1196
index1.html,cp932,0,True,True,7793,7841
mokujp.html,cp932,0,True,True,1139,1295
∩╜ôoft.htm,cp932,0,True,True,10224,11160
an03.htm,cp932,0,True,True,8967,10442
upload.htm,cp932,0,True,True,712,740
Soft.htm,euc_jp,0,True,True,9464,9471
home_1.htm,utf-8,0,True,True,18627,18628
henka.html,cp932,0,True,True,754,856
suisen.html,cp932,0,True,True,10339,12241
An01.htm,utf-8,0,True,True,25640,25641
upload/usd.htm,latin1,0,True,True,791,1025
upload/dm.htm,cp932,0,True,True,703,732
upload/index.html,latin1,0,True,True,49506,52561
upload/usdg.htm,latin1,0,True,True,1718,2157
upload/ajiamoku.html,cp932,0,True,True,292,341
upload/jpyg.htm,cp932,0,True,True,1258,1277
upload/ajiajp.html,utf-8,0,True,True,342,343
upload/henka.htm,utf-8,0,True,True,1737,1738
upload/gou_utf8_v2.htm,utf-8,0,True,True,6938,6939
upload/INTOSA.HTM,utf-8,0,True,True,649,673
upload/ny_updated.htm,utf-8,0,True,True,947,948
upload/henkajp.htm,utf-8,0,True,True,1058,1059
upload/krw.htm,utf-8,0,True,True,790,791
upload/yosou.htm,cp932,0,True,True,1279,1707
upload/fxsoba.htm,utf-8,0,True,True,3639,3640
upload/kabu.htm,utf-8,0,True,True,371,372
upload/ajiacur.htm,utf-8,0,True,True,648,672
upload/home_1_utf8_v2.htm,utf-8,0,True,True,18124,18125
upload/suisen.htm,cp932,0,True,True,10236,12139
upload/mokuji.html,latin1,0,True,True,1238,1458
upload/index∩╝æ.html,cp932,0,True,True,7558,8387
upload/mokujp.html,latin1,0,True,True,1281,1479
upload/lit.htm,cp932,0,True,True,708,737
upload/home_1.htm,cp932,0,True,True,6412,7837
upload/ajiamoku.htm,utf-8,0,True,True,342,343
